worker_code,zone_code,assignment_date
"W1","Z782","2024-04-10"
"W1","Z301","2024-04-23"
"W1","Z409","2024-05-03"
"W1","Z236","2024-05-10"
"W1","Z408","2024-06-03"
"W1","Z476","2024-07-16"
"W1","Z331","2024-07-21"
"W1","Z30","2024-08-09"
"W1","Z614","2024-08-30"
"W1","Z501","2024-09-27"
"W1","Z486","2024-12-14"
"W1","Z108","2024-12-28"
"W1","Z162","2025-01-02"
"W1","Z503","2025-01-05"
"W1","Z933","2025-01-18"
"W1","Z700","2025-01-22"
"W1","Z582","2025-01-31"
"W1","Z217","2025-02-08"
"W1","Z243","2025-02-11"
"W1","Z77","2025-02-21"
"W1","Z47","2025-03-12"
"W2","Z126","2024-06-11"
"W2","Z35","2024-06-16"
"W2","Z855","2024-07-06"
"W2","Z21","2024-07-17"
"W2","Z903","2024-08-03"
"W2","Z446","2024-09-03"
"W2","Z18","2024-09-11"
"W2","Z143","2024-09-19"
"W2","Z352","2024-09-20"
"W2","Z332","2024-10-01"
"W2","Z799","2024-11-05"
"W2","Z994","2024-11-28"
"W2","Z210","2024-12-11"
"W2","Z445","2025-01-03"
"W2","Z831","2025-01-17"
"W2","Z611","2025-01-18"
"W2","Z769","2025-01-31"
"W2","Z164","2025-03-04"
"W3","Z71","2024-04-02"
"W3","Z402","2024-04-05"
"W3","Z47","2024-05-02"
"W3","Z572","2024-05-11"
"W3","Z71","2024-06-22"
"W3","Z728","2024-07-08"
"W3","Z96","2024-08-02"
"W3","Z370","2024-09-09"
"W3","Z734","2024-09-23"
"W3","Z350","2024-10-03"
"W3","Z163","2024-10-26"
"W3","Z207","2024-11-21"
"W3","Z1","2024-12-02"
"W3","Z501","2025-01-01"
"W3","Z66","2025-01-02"
"W3","Z104","2025-03-09"
"W3","Z609","2025-03-11"
"W4","Z964","2024-03-16"
"W4","Z527","2024-07-13"
"W4","Z182","2024-08-04"
"W4","Z973","2024-08-06"
"W4","Z267","2024-09-08"
"W4","Z335","2024-10-08"
"W4","Z119","2024-10-11"
"W4","Z609","2024-11-03"
"W4","Z95","2024-12-09"
"W4","Z349","2024-12-16"
"W4","Z387","2025-01-21"
"W4","Z620","2025-02-12"
"W5","Z603","2024-03-15"
"W5","Z654","2024-03-29"
"W5","Z277","2024-03-30"
"W5","Z738","2024-04-25"
"W5","Z971","2024-04-27"
"W5","Z827","2024-07-31"
"W5","Z692","2024-08-07"
"W5","Z401","2024-08-26"
"W5","Z531","2024-10-08"
"W5","Z193","2024-12-28"
"W5","Z311","2025-01-02"
"W5","Z500","2025-03-02"
"W5","Z172","2025-03-03"
"W6","Z629","2024-03-20"
"W6","Z503","2024-03-27"
"W6","Z440","2024-04-09"
"W6","Z636","2024-05-01"
"W6","Z875","2024-07-18"
"W6","Z284","2024-07-25"
"W6","Z870","2024-07-30"
"W6","Z630","2024-08-22"
"W6","Z388","2024-09-06"
"W6","Z424","2024-09-10"
"W6","Z398","2024-09-20"
"W6","Z757","2024-10-04"
"W6","Z460","2024-10-22"
"W6","Z779","2025-02-26"
"W7","Z462","2024-04-27"
"W7","Z706","2024-08-06"
"W7","Z297","2024-08-11"
"W7","Z85","2024-08-28"
"W7","Z259","2024-09-11"
"W7","Z378","2024-11-25"
"W7","Z959","2025-01-19"
"W7","Z294","2025-02-10"
"W7","Z658","2025-02-20"
"W8","Z599","2024-03-20"
"W8","Z757","2024-04-02"
"W8","Z509","2024-05-06"
"W8","Z729","2024-05-20"
"W8","Z558","2024-07-02"
"W8","Z941","2024-08-06"
"W8","Z921","2024-09-15"
"W8","Z184","2024-10-15"
"W8","Z50","2024-11-28"
"W8","Z868","2024-12-22"
"W8","Z498","2025-01-28"
"W8","Z146","2025-02-01"
"W8","Z800","2025-02-23"
"W9","Z342","2024-04-08"
"W9","Z232","2024-05-22"
"W9","Z200","2024-06-01"
"W9","Z464","2024-06-17"
"W9","Z984","2024-06-28"
"W9","Z960","2024-08-07"
"W9","Z632","2024-08-20"
"W9","Z137","2024-09-03"
"W9","Z235","2024-10-10"
"W9","Z358","2025-01-05"
"W9","Z864","2025-01-06"
"W9","Z895","2025-01-09"
"W9","Z325","2025-01-14"
"W9","Z740","2025-02-18"
"W10","Z632","2024-04-05"
"W10","Z261","2024-05-01"
"W10","Z131","2024-05-11"
"W10","Z568","2024-05-26"
"W10","Z819","2024-06-14"
"W10","Z666","2024-07-07"
"W10","Z231","2024-07-09"
"W10","Z681","2024-09-12"
"W10","Z167","2024-11-27"
"W10","Z131","2025-01-19"
"W10","Z670","2025-01-21"
"W11","Z154","2024-03-18"
"W11","Z308","2024-04-26"
"W11","Z185","2024-05-07"
"W11","Z536","2024-08-08"
"W11","Z449","2024-09-02"
"W11","Z224","2024-09-05"
"W11","Z31","2024-10-30"
"W11","Z885","2024-12-12"
"W11","Z988","2025-01-19"
"W11","Z488","2025-01-25"
"W11","Z330","2025-02-28"
"W11","Z618","2025-03-07"
"W11","Z50","2025-03-09"
"W12","Z688","2024-05-14"
"W12","Z921","2024-06-10"
"W12","Z717","2024-06-21"
"W12","Z127","2024-07-03"
"W12","Z940","2024-07-10"
"W12","Z810","2024-07-24"
"W12","Z56","2024-08-18"
"W12","Z161","2024-08-20"
"W12","Z658","2024-09-26"
"W12","Z549","2024-10-06"
"W12","Z674","2024-10-14"
"W12","Z842","2024-11-22"
"W12","Z290","2025-02-04"
"W12","Z717","2025-02-20"
"W12","Z61","2025-03-07"
"W13","Z248","2024-03-24"
"W13","Z34","2024-06-25"
"W13","Z906","2024-07-07"
"W13","Z467","2024-08-10"
"W13","Z139","2024-08-23"
"W13","Z906","2024-12-05"
"W13","Z999","2024-12-19"
"W13","Z896","2025-02-22"
"W13","Z377","2025-03-08"
"W14","Z919","2024-03-15"
"W14","Z102","2024-05-14"
"W14","Z561","2024-07-15"
"W14","Z226","2024-08-28"
"W14","Z871","2024-10-27"
"W14","Z597","2024-11-25"
"W14","Z490","2024-11-26"
"W14","Z585","2024-12-22"
"W14","Z797","2025-01-12"
"W14","Z998","2025-03-04"
"W15","Z201","2024-03-21"
"W15","Z329","2024-04-17"
"W15","Z446","2024-04-28"
"W15","Z279","2024-05-08"
"W15","Z766","2024-07-05"
"W15","Z337","2024-08-25"
"W15","Z456","2024-10-22"
"W15","Z787","2024-11-06"
"W15","Z396","2024-11-20"
"W15","Z72","2024-12-13"
"W15","Z635","2025-01-22"
"W15","Z818","2025-01-23"
"W15","Z252","2025-01-27"
"W15","Z551","2025-03-01"
"W16","Z182","2024-04-22"
"W16","Z945","2024-05-02"
"W16","Z211","2024-07-10"
"W16","Z559","2024-09-17"
"W16","Z276","2024-11-01"
"W16","Z422","2024-11-06"
"W16","Z828","2024-12-12"
"W16","Z161","2025-01-27"
"W16","Z519","2025-02-09"
"W16","Z738","2025-02-22"
"W16","Z300","2025-03-04"
"W17","Z72","2024-03-14"
"W17","Z430","2024-04-18"
"W17","Z927","2024-05-12"
"W17","Z566","2024-06-04"
"W17","Z626","2024-08-08"
"W17","Z778","2024-09-09"
"W17","Z885","2025-01-17"
"W18","Z100","2024-03-24"
"W18","Z533","2024-03-27"
"W18","Z7","2024-04-23"
"W18","Z628","2024-05-08"
"W18","Z155","2024-06-12"
"W18","Z682","2024-06-24"
"W18","Z970","2024-07-13"
"W18","Z408","2024-07-31"
"W18","Z536","2024-10-10"
"W18","Z433","2024-11-27"
"W18","Z539","2025-01-17"
"W18","Z474","2025-02-03"
"W19","Z56","2024-04-01"
"W19","Z208","2024-04-15"
"W19","Z620","2024-05-02"
"W19","Z399","2024-05-04"
"W19","Z865","2024-06-01"
"W19","Z745","2024-06-05"
"W19","Z790","2024-06-13"
"W19","Z1000","2024-07-03"
"W19","Z136","2024-07-06"
"W19","Z120","2024-07-21"
"W19","Z669","2024-07-27"
"W19","Z579","2024-10-12"
"W19","Z666","2024-12-22"
"W19","Z149","2025-03-11"
"W20","Z801","2024-03-28"
"W20","Z587","2024-04-09"
"W20","Z311","2024-04-20"
"W20","Z20","2024-05-05"
"W20","Z942","2024-06-03"
"W20","Z102","2024-07-24"
"W20","Z986","2024-07-30"
"W20","Z349","2024-08-10"
"W20","Z257","2024-09-08"
"W20","Z768","2024-10-16"
"W20","Z978","2024-11-14"
"W20","Z667","2024-11-18"
"W20","Z872","2024-12-21"
"W20","Z321","2024-12-23"
"W20","Z308","2025-01-01"
"W20","Z904","2025-02-09"
"W20","Z5","2025-02-14"
"W20","Z482","2025-02-15"
"W20","Z595","2025-02-21"
"W20","Z585","2025-02-27"
"W21","Z345","2024-03-29"
"W21","Z414","2024-05-01"
"W21","Z357","2024-05-28"
"W21","Z274","2024-06-25"
"W21","Z30","2024-09-11"
"W21","Z814","2024-09-15"
"W21","Z760","2024-11-24"
"W21","Z742","2024-12-30"
"W22","Z995","2024-03-21"
"W22","Z780","2024-04-01"
"W22","Z107","2024-08-08"
"W22","Z79","2024-08-29"
"W22","Z197","2024-09-20"
"W22","Z496","2025-01-23"
"W23","Z469","2024-04-09"
"W23","Z30","2024-06-03"
"W23","Z829","2024-06-15"
"W23","Z454","2024-08-30"
"W23","Z463","2024-09-13"
"W23","Z168","2024-11-05"
"W23","Z409","2024-11-27"
"W23","Z178","2025-02-05"
"W23","Z790","2025-02-12"
"W24","Z898","2024-03-29"
"W24","Z864","2024-04-13"
"W24","Z579","2024-04-17"
"W24","Z530","2024-04-20"
"W24","Z709","2024-05-03"
"W24","Z892","2024-06-24"
"W24","Z702","2024-07-07"
"W24","Z635","2024-07-25"
"W24","Z125","2024-08-25"
"W24","Z452","2024-08-28"
"W24","Z60","2024-09-06"
"W24","Z564","2024-10-04"
"W24","Z177","2024-10-06"
"W24","Z753","2024-10-13"
"W24","Z225","2024-11-05"
"W24","Z509","2024-12-22"
"W25","Z290","2024-03-18"
"W25","Z815","2024-04-30"
"W25","Z81","2024-05-02"
"W25","Z962","2024-06-01"
"W25","Z865","2024-07-05"
"W25","Z533","2024-07-23"
"W25","Z81","2024-08-16"
"W25","Z687","2024-08-21"
"W25","Z137","2024-11-26"
"W25","Z309","2024-12-08"
"W25","Z457","2025-02-11"
"W25","Z456","2025-03-11"
"W26","Z184","2024-03-22"
"W26","Z860","2024-05-18"
"W26","Z619","2024-06-18"
"W26","Z1000","2024-07-17"
"W26","Z564","2024-08-30"
"W26","Z773","2024-09-20"
"W26","Z895","2024-12-02"
"W26","Z892","2025-01-01"
"W26","Z913","2025-01-25"
"W26","Z261","2025-02-01"
"W26","Z950","2025-02-03"
"W26","Z138","2025-02-19"
"W26","Z832","2025-02-26"
"W27","Z953","2024-03-27"
"W27","Z140","2024-04-26"
"W27","Z791","2024-06-11"
"W27","Z405","2024-07-07"
"W27","Z680","2024-07-31"
"W27","Z322","2024-08-07"
"W27","Z423","2024-08-21"
"W27","Z91","2024-10-25"
"W27","Z694","2024-12-28"
"W27","Z810","2025-01-16"
"W27","Z778","2025-02-18"
"W27","Z867","2025-03-04"
"W27","Z537","2025-03-05"
"W28","Z143","2024-06-02"
"W28","Z690","2024-08-30"
"W28","Z698","2024-08-31"
"W28","Z348","2024-11-10"
"W28","Z151","2025-01-03"
"W28","Z960","2025-02-01"
"W29","Z123","2024-03-27"
"W29","Z656","2024-04-23"
"W29","Z550","2024-06-08"
"W29","Z469","2024-07-22"
"W29","Z995","2024-08-27"
"W29","Z317","2024-09-11"
"W29","Z91","2024-09-22"
"W29","Z456","2025-01-23"
"W29","Z372","2025-02-02"
"W29","Z453","2025-02-09"
"W29","Z808","2025-02-13"
"W30","Z147","2024-07-06"
"W30","Z170","2024-07-29"
"W30","Z931","2024-08-01"
"W30","Z456","2024-08-02"
"W30","Z649","2024-08-10"
"W30","Z443","2024-09-08"
"W30","Z443","2024-09-20"
"W30","Z724","2024-10-18"
"W30","Z384","2024-11-02"
"W30","Z126","2024-12-06"
"W30","Z40","2024-12-27"
"W30","Z190","2025-01-06"
"W31","Z775","2024-03-26"
"W31","Z557","2024-04-29"
"W31","Z14","2024-05-23"
"W31","Z21","2024-07-12"
"W31","Z995","2024-07-27"
"W31","Z953","2024-08-29"
"W31","Z808","2024-09-15"
"W31","Z907","2024-09-21"
"W31","Z239","2024-10-09"
"W31","Z414","2024-10-28"
"W31","Z525","2025-01-08"
"W31","Z893","2025-02-20"
"W32","Z1000","2024-04-04"
"W32","Z650","2024-04-10"
"W32","Z154","2024-05-01"
"W32","Z342","2024-05-05"
"W32","Z173","2024-10-03"
"W32","Z643","2024-10-25"
"W32","Z29","2024-11-12"
"W32","Z176","2024-11-24"
"W32","Z634","2024-11-27"
"W32","Z936","2024-12-05"
"W32","Z573","2025-01-03"
"W32","Z526","2025-01-24"
"W32","Z859","2025-01-27"
"W33","Z163","2024-03-19"
"W33","Z803","2024-04-04"
"W33","Z867","2024-04-12"
"W33","Z343","2024-04-23"
"W33","Z183","2024-04-30"
"W33","Z428","2024-05-13"
"W33","Z990","2024-07-31"
"W33","Z292","2024-08-02"
"W33","Z151","2024-09-03"
"W33","Z400","2024-09-07"
"W33","Z514","2024-09-20"
"W33","Z829","2024-09-24"
"W33","Z321","2024-10-17"
"W33","Z527","2024-10-26"
"W33","Z392","2024-12-06"
"W33","Z394","2025-01-19"
"W33","Z623","2025-02-03"
"W33","Z278","2025-02-14"
"W34","Z322","2024-06-02"
"W34","Z135","2024-09-22"
"W34","Z779","2024-10-08"
"W34","Z315","2024-10-11"
"W34","Z837","2024-10-19"
"W34","Z847","2024-11-10"
"W34","Z713","2024-11-17"
"W34","Z186","2024-11-30"
"W35","Z418","2024-05-11"
"W35","Z605","2024-07-12"
"W35","Z203","2024-08-12"
"W35","Z995","2024-09-11"
"W35","Z953","2024-12-05"
"W35","Z267","2024-12-15"
"W35","Z640","2024-12-17"
"W35","Z501","2025-01-30"
"W36","Z18","2024-04-21"
"W36","Z530","2024-06-24"
"W36","Z951","2024-07-30"
"W36","Z459","2024-08-13"
"W36","Z695","2024-08-28"
"W36","Z705","2024-09-26"
"W36","Z661","2024-10-21"
"W36","Z910","2024-11-27"
"W37","Z8","2024-03-28"
"W37","Z326","2024-04-05"
"W37","Z67","2024-06-13"
"W37","Z833","2024-06-25"
"W37","Z414","2024-07-08"
"W37","Z246","2024-08-13"
"W37","Z501","2024-09-07"
"W37","Z723","2024-12-24"
"W37","Z372","2025-01-05"
"W37","Z338","2025-02-15"
"W38","Z973","2024-03-24"
"W38","Z124","2024-04-04"
"W38","Z216","2024-04-27"
"W38","Z682","2024-05-02"
"W38","Z652","2024-05-15"
